Make,Fuel-Type,Num of doors,body-style,Drive wheels,engine-location,wheel base,length,width,height,engine size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg
subaru,gas,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,97,3.62,2.36,9,69,4900,31,36
subaru,gas,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,108,3.62,2.64,8.7,73,4400,26,31
isuzu,gas,four,sedan,rwd,front,94.3,170.7,61.8,53.5,111,3.31,3.23,8.5,78,4800,24,29
alfa-romero,gas,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,152,2.68,3.47,9,154,5000,19,26
chevrolet,gas,two,hatchback,fwd,front,94.5,155.9,63.6,52,90,3.03,3.11,9.6,70,5400,38,43
chevrolet,gas,four,sedan,fwd,front,94.5,158.8,63.6,52,90,3.03,3.11,9.6,70,5400,38,43
nissan,gas,two,sedan,fwd,front,94.5,165.3,63.8,54.5,97,3.15,3.29,9.4,69,5200,31,37
nissan,diesel,two,sedan,fwd,front,94.5,165.3,63.8,54.5,103,2.99,3.47,21.9,55,4800,45,50
nissan,gas,two,sedan,fwd,front,94.5,165.3,63.8,54.5,97,3.15,3.29,9.4,69,5200,31,37
nissan,gas,four,sedan,fwd,front,94.5,165.3,63.8,54.5,97,3.15,3.29,9.4,69,5200,31,37
nissan,gas,four,wagon,fwd,front,94.5,170.2,63.8,53.5,97,3.15,3.29,9.4,69,5200,31,37
nissan,gas,two,sedan,fwd,front,94.5,165.3,63.8,54.5,97,3.15,3.29,9.4,69,5200,31,37