fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Color
7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8,Red
6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2,Red
6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6,Red
5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,Red
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,Red
6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,Red
6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,Red
5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,Red
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,Red
5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,Red
6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11,Red
5.7,0.21,0.32,0.9,0.038,38,121,0.99074,3.24,0.46,10.6,White
6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7,White
6.2,0.21,0.29,1.6,0.039,24,92,0.99114,3.27,0.5,11.2,White
6.6,0.32,0.36,8,0.047,57,168,0.9949,3.15,0.46,9.6,White
6.5,0.24,0.19,1.2,0.041,30,111,0.99254,2.99,0.46,9.4,White
5.5,0.29,0.3,1.1,0.022,20,110,0.98869,3.34,0.38,12.8,White
6,0.21,0.38,0.8,0.02,22,98,0.98941,3.26,0.32,11.8,White